Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,Street_broad,Name_broad,Address_broad,Rating_broad,Latitude_broad,Longitude_broad
liberty ave,Pittsburgh,Pittsburgh,,ChIJA4UGSG_xNIgRNBuiWqEV-Y0,40.44062479999999,-79.9958864,Liberty Ave,Pittsburgh,Pittsburgh,,40.44062479999999,-79.9958864
liberty ave,Hammer-Mann Designwerks,"431 Dargan Street, Pittsburgh",5.0,ChIJ9eOYxW3yNIgRucjj5X3Zf3s,40.4613826,-79.9540572,Liberty Ave,Hammer-Mann Designwerks,"431 Dargan Street, Pittsburgh",5.0,40.4613826,-79.9540572
liberty ave,Marino's Auto Repair,"4610 Juniper Street, Pittsburgh",4.0,ChIJRbGV9DfyNIgRMLRx3jW9DZs,40.4592334,-79.9531763,Liberty Ave,Marino's Auto Repair,"4610 Juniper Street, Pittsburgh",4.0,40.4592334,-79.9531763
liberty ave,Independent Enterprises LLC,"4420 Lorigan Street, Pittsburgh",,ChIJf3QuFwDzNIgRptcoYOdNv7U,40.4605937,-79.9549838,Liberty Ave,Independent Enterprises LLC,"4420 Lorigan Street, Pittsburgh",,40.4605937,-79.9549838
liberty ave,Bloomfield Bridge,"Martin Luther King Jr. East Busway, Pittsburgh",5.0,ChIJd0wWA6zzNIgRAJ2ox5hXVqw,40.4603451,-79.9559297,Liberty Ave,Bloomfield Bridge,"Martin Luther King Jr. East Busway, Pittsburgh",5.0,40.4603451,-79.9559297
liberty ave,Ella St. Steps,"445 Ella Street, Bloomfield",4.5,ChIJIwCSCQDzNIgR0YuTHtSP28Y,40.46070069999999,-79.9537885,Liberty Ave,Ella St. Steps,"445 Ella Street, Bloomfield",4.5,40.46070069999999,-79.9537885
liberty ave,"Herky's Food Products, Inc.","4507 Minerva Street, Pittsburgh",4.3,ChIJpUuZA0jyNIgRilfeI4Oi8gs,40.46067,-79.9533469,Liberty Ave,"Herky's Food Products, Inc.","4507 Minerva Street, Pittsburgh",4.3,40.46067,-79.9533469
liberty ave,M. O’Herron Company,"4002 Lorigan Street, Pittsburgh",3.7,ChIJTVpDzknyNIgRDS9U29IvEJ0,40.46130650000001,-79.9561643,Liberty Ave,M. O’Herron Company,"4002 Lorigan Street, Pittsburgh",3.7,40.46130650000001,-79.9561643
liberty ave,Iron Eden Inc,"4001 Lorigan Street, Pittsburgh",4.6,ChIJGYDk80jyNIgR3v2soh9Pt90,40.4615455,-79.955625,Liberty Ave,Iron Eden Inc,"4001 Lorigan Street, Pittsburgh",4.6,40.4615455,-79.955625
liberty ave,Melwood Parklet,Pittsburgh,,ChIJaae-EzbyNIgRcgjFLCh3oPo,40.4599128,-79.9574781,Liberty Ave,Melwood Parklet,Pittsburgh,,40.4599128,-79.9574781
liberty ave,Bloomfield,Pittsburgh,,ChIJ0X4ZRUHyNIgRDG3KutmxB2g,40.4621606,-79.94445259999999,Liberty Ave,Bloomfield,Pittsburgh,,40.4621606,-79.94445259999999
liberty ave,Heating & Air Conditioning,"4700 Lorigan Street, Pittsburgh",3.0,ChIJcyhvIjjyNIgRYc6H47SsRK0,40.4589789,-79.9524299,Liberty Ave,Heating & Air Conditioning,"4700 Lorigan Street, Pittsburgh",3.0,40.4589789,-79.9524299
liberty ave,Keystone Physical Therapy,"4724 Essex Way, Pittsburgh",,ChIJ_9HTfjjyNIgREal8tyEQg-k,40.4599725,-79.9503782,Liberty Ave,Keystone Physical Therapy,"4724 Essex Way, Pittsburgh",,40.4599725,-79.9503782
liberty ave,"Dr. Raj A. Narayan, MD","340 Pearl Street, Pittsburgh",2.2,ChIJ9c0JmkfyNIgRPRu2YRSMDiE,40.461142,-79.9509063,Liberty Ave,"Dr. Raj A. Narayan, MD","340 Pearl Street, Pittsburgh",2.2,40.461142,-79.9509063
liberty ave,uBreakiFix - Phone and Computer Repair,"4718 Liberty Avenue, Pittsburgh",4.2,ChIJB_HjEUfyNIgRD5tY2m91LgE,40.4615752,-79.9494414,Liberty Ave,uBreakiFix - Phone and Computer Repair,"4718 Liberty Avenue, Pittsburgh",4.2,40.4615752,-79.9494414
liberty ave,First National Bank,"4724 Liberty Avenue, Pittsburgh",3.8,ChIJ0WyPEkfyNIgR8w5NG4mGAWY,40.4614324,-79.9492944,Liberty Ave,First National Bank,"4724 Liberty Avenue, Pittsburgh",3.8,40.4614324,-79.9492944
liberty ave,Allure,"4730 Liberty Avenue, Pittsburgh",5.0,ChIJib9qFEfyNIgR95YgYP9L3Rk,40.4614559,-79.9489423,Liberty Ave,Allure,"4730 Liberty Avenue, Pittsburgh",5.0,40.4614559,-79.9489423
liberty ave,Clothes Minded,"4740 Liberty Avenue, Pittsburgh",4.3,ChIJ8TC8akfyNIgRPWW81WSS_ak,40.4612565,-79.9486541,Liberty Ave,Clothes Minded,"4740 Liberty Avenue, Pittsburgh",4.3,40.4612565,-79.9486541
liberty ave,Dan Cercone Barber Shop,"4720 Liberty Avenue, Pittsburgh",4.7,ChIJz4fxEUfyNIgR8tvfxlBf9rg,40.46159,-79.949339,Liberty Ave,Dan Cercone Barber Shop,"4720 Liberty Avenue, Pittsburgh",4.7,40.46159,-79.949339
liberty ave,Freehand Craft Studio,"4741 Liberty Avenue, Pittsburgh",5.0,ChIJQTW_PUfyNIgReWckbWGfkJc,40.4616204,-79.94855280000002,Liberty Ave,Freehand Craft Studio,"4741 Liberty Avenue, Pittsburgh",5.0,40.4616204,-79.94855280000002
liberty ave,Pleasure Bar,"4729 Liberty Avenue, Pittsburgh",4.2,ChIJU1c6EUfyNIgRg8gKJwQNl4c,40.4617028,-79.9486917,Liberty Ave,Pleasure Bar,"4729 Liberty Avenue, Pittsburgh",4.2,40.4617028,-79.9486917
liberty ave,Ginza Japanese Restaurant,"4734 Liberty Avenue, Pittsburgh",4.5,ChIJLfzKFEfyNIgR6L1Z3Rj0Q2c,40.4613895,-79.9488118,Liberty Ave,Ginza Japanese Restaurant,"4734 Liberty Avenue, Pittsburgh",4.5,40.4613895,-79.9488118
liberty ave,Bloomfield Drug Store,"4727 Liberty Avenue, Pittsburgh",4.5,ChIJN8sfFEfyNIgRjylMDpeH9-U,40.46179,-79.9489428,Liberty Ave,Bloomfield Drug Store,"4727 Liberty Avenue, Pittsburgh",4.5,40.46179,-79.9489428
liberty ave,Regis Iovino Appraisal Company,"4729 Liberty Avenue, Pittsburgh",1.0,ChIJXSouFkfyNIgRWgmzaTv2kAg,40.4617151,-79.94869229999999,Liberty Ave,Regis Iovino Appraisal Company,"4729 Liberty Avenue, Pittsburgh",1.0,40.4617151,-79.94869229999999
liberty ave,Paul Lumber & Supply,"4072 Liberty Avenue, Pittsburgh",4.5,ChIJqfNfikjyNIgREcKkghPLwKk,40.4630587,-79.95441919999999,Liberty Ave,Paul Lumber & Supply,"4072 Liberty Avenue, Pittsburgh",4.5,40.4630587,-79.95441919999999
liberty ave,Budget Truck Rental,"4052b Liberty Avenue, Pittsburgh",2.3,ChIJYUogVEjyNIgRR9TuXAGf9So,40.46293709999999,-79.955347,Liberty Ave,Budget Truck Rental,"4052b Liberty Avenue, Pittsburgh",2.3,40.46293709999999,-79.955347
liberty ave,Budget Car Rental,"4052 Liberty Avenue, Pittsburgh",2.6,ChIJr3IdVEjyNIgR_sFhJGl0Uz8,40.4629708,-79.9552726,Liberty Ave,Budget Car Rental,"4052 Liberty Avenue, Pittsburgh",2.6,40.4629708,-79.9552726
liberty ave,Avis Car Rental,"4052 Liberty Avenue, Pittsburgh",3.3,ChIJr3IdVEjyNIgREixcw6C9rcs,40.4629708,-79.9552726,Liberty Ave,Avis Car Rental,"4052 Liberty Avenue, Pittsburgh",3.3,40.4629708,-79.9552726
liberty ave,Bloomfield Dek Hockey,"408 Ella Street, Pittsburgh",4.7,ChIJHV54e0jyNIgRZVJk_hlFGWU,40.46246699999999,-79.953516,Liberty Ave,Bloomfield Dek Hockey,"408 Ella Street, Pittsburgh",4.7,40.46246699999999,-79.953516
liberty ave,Bloomfield Swimming,"408 Ella Street, Pittsburgh",4.4,ChIJn4JQ30fyNIgR9WaHWMAIVGk,40.4619524,-79.9533259,Liberty Ave,Bloomfield Swimming,"408 Ella Street, Pittsburgh",4.4,40.4619524,-79.9533259
liberty ave,Bloomfield Park,"408 Ella Street, Pittsburgh",4.4,ChIJ00zxaEjyNIgRAmIQw4o3bx4,40.46288860000001,-79.95391219999999,Liberty Ave,Bloomfield Park,"408 Ella Street, Pittsburgh",4.4,40.46288860000001,-79.95391219999999
liberty ave,Basketball Court,Pittsburgh,,ChIJO8kmaUjyNIgRp9N3jjZSdO0,40.4622423,-79.95393779999999,Liberty Ave,Basketball Court,Pittsburgh,,40.4622423,-79.95393779999999
liberty ave,Progressive Office Cabling,"324 Taylor Street, Pittsburgh",3.7,ChIJg6PafchVNIgRcQRe5G6jmdM,40.46208199999999,-79.951639,Liberty Ave,Progressive Office Cabling,"324 Taylor Street, Pittsburgh",3.7,40.46208199999999,-79.951639
liberty ave,Tessaro's American Bar & Hardwood Grill,"4601 Liberty Avenue, Pittsburgh",4.5,ChIJ1a5WTUbyNIgRjZqErFhIgMQ,40.4627075,-79.9507294,Liberty Ave,Tessaro's American Bar & Hardwood Grill,"4601 Liberty Avenue, Pittsburgh",4.5,40.4627075,-79.9507294
liberty ave,Lot 17,"1922, 4617 Liberty Avenue, Pittsburgh",4.5,ChIJ9RuVqkfyNIgRkMqRFmij0AE,40.4624552,-79.9502692,Liberty Ave,Lot 17,"1922, 4617 Liberty Avenue, Pittsburgh",4.5,40.4624552,-79.9502692
liberty ave,Thai Gourmet,"4505 Liberty Avenue, Pittsburgh",4.7,ChIJ157INUbyNIgRIdYcEKwlsxk,40.463207,-79.95149800000002,Liberty Ave,Thai Gourmet,"4505 Liberty Avenue, Pittsburgh",4.7,40.463207,-79.95149800000002
liberty ave,Caliente Pizza & Drafthouse - Bloomfield,"4624 Liberty Avenue, Pittsburgh",3.8,ChIJF27Hp0fyNIgRnZHhBa75CIw,40.46203579999999,-79.9501025,Liberty Ave,Caliente Pizza & Drafthouse - Bloomfield,"4624 Liberty Avenue, Pittsburgh",3.8,40.46203579999999,-79.9501025
liberty ave,MoneyGram,"4528 Liberty Avenue, Pittsburgh",4.0,ChIJwVr3s0fyNIgRad0Fm-DODbM,40.46247460000001,-79.951078,Liberty Ave,MoneyGram,"4528 Liberty Avenue, Pittsburgh",4.0,40.46247460000001,-79.951078
liberty ave,Khan Adeel DDS,"4600 Liberty Avenue #1923, Pittsburgh",,ChIJeQqBsUfyNIgRlsca-8rmrKs,40.4624191,-79.95089879999999,Liberty Ave,Khan Adeel DDS,"4600 Liberty Avenue #1923, Pittsburgh",,40.4624191,-79.95089879999999
liberty ave,ACE Cash Express,"4528 Liberty Avenue, Pittsburgh",4.9,ChIJW_YAtEfyNIgR3diGDH-s0s0,40.4625411,-79.9510538,Liberty Ave,ACE Cash Express,"4528 Liberty Avenue, Pittsburgh",4.9,40.4625411,-79.9510538
liberty ave,POGOH - Taylor St & Liberty Ave,"4601 Liberty Avenue, Pittsburgh",,ChIJsYlrTUbyNIgR9alEuJkybeI,40.4628368,-79.95083199999999,Liberty Ave,POGOH - Taylor St & Liberty Ave,"4601 Liberty Avenue, Pittsburgh",,40.4628368,-79.95083199999999
